2. abandoned,abandoned
1295. extra,extra
1296. extra-large,extra-large
1297. extraneous,extraneous
1298. extraordinary,extraordinary
1299. extra-small,extra-small
1300. extravagant,extravagant
1301. extreme,extreme
1302. exuberant,exuberant
1303. eye-popping,eye-popping
1304. fabled,fabled
1305. fabulous,fabulous
1306. facetious,facetious
1307. facial,facial
1308. factitious,factitious
1309. factual,factual
1310. faded,faded
1311. fading,fading
1312. failed,failed
1313. faint 1,faint
1314. fainthearted,fainthearted
1315. fair 1,fair
1316. faithful,faithful
1317. faithless,faithless
1318. fallacious,fallacious
1319. false 1,false
1320. falsified,falsified
1321. faltering,faltering
1322. familiar,familiar
1323. famished,famished
1324. famous,famous
1325. fanatical,fanatical
1326. fanciful,fanciful
1327. fancy 1,fancy
1328. fantastic,fantastic
1329. far 1,far
1330. faraway,faraway
1331. farcical,farcical
1332. far-flung,far-flung
1333. farsighted,farsighted
1334. fascinated,fascinated
1335. fascinating,fascinating
1336. fascistic,fascistic
1337. fashionable,fashionable
1338. fast 1,fast
1339. fastest,fastest
1340. fastidious,fastidious
1341. fast-moving,fast-moving
1342. fat,fat
1343. fatal,fatal
1344. fateful,fateful
1345. fatherly,fatherly
1346. fathomable,fathomable
1347. fathomless,fathomless
1348. fatigued,fatigued
1349. faulty 1,faulty
1350. favorable,favorable
1351. favorite,favorite
1352. fawning,fawning
1353. feared,feared
1354. fearful,fearful
1355. fearless,fearless
1356. fearsome,fearsome
1357. feathered,feathered
1358. feathery,feathery
1359. feckless,feckless
1360. federal,federal
1361. feeble 1,feeble
1362. feebleminded,feebleminded
1363. feeling,feeling
1364. feigned,feigned
1365. felonious,felonious
1366. female,female
1367. feminine,feminine
1368. fermented,fermented
1369. ferocious,ferocious
1370. fertile,fertile
1371. fervent,fervent
1372. fervid,fervid
1373. festive,festive
1374. fetching,fetching
1375. fetid,fetid
1376. feudal,feudal
1377. feverish,feverish
"1378. few 1, 2","few, 2"
1379. fewer 2,fewer
1380. fictional,fictional
1381. fictitious,fictitious
1382. fidgeting,fidgeting
1383. fidgety,fidgety
1384. fiendish,fiendish
1385. fierce 1,fierce
1386. fiery 1,fiery
1387. fifth 2,fifth
1388. filmy 1,filmy
1389. filtered,filtered
1390. filthy 1,filthy
1391. final,final
1392. financial,financial
1393. fine 1,fine
1394. finicky,finicky
1395. finite,finite
1396. fireproof,fireproof
1397. firm 1,firm
1398. first 2,first
1399. fiscal,fiscal
1400. fishy,fishy
1401. fit,fit
1402. fitted,fitted
1403. fitting,fitting
1404. five 2,five
1405. fixable,fixable
1406. fixed,fixed
1407. flabby 1,flabby
1408. flagrant,flagrant
1409. flaky 1,flaky
1410. flamboyant,flamboyant
1411. flaming,flaming
1412. flammable,flammable
1413. flashy 1,flashy
1414. flat 1,flat
1415. flattened,flattened
1416. flattered,flattered
1417. flattering,flattering
1418. flavored,flavored
1419. flavorful,flavorful
1420. flavorless,flavorless
1421. flawed,flawed
1422. flawless,flawless
1423. fleeting,fleeting
1424. flexible,flexible
1425. flickering,flickering
1426. flimsy 1,flimsy
1427. flippant,flippant
1428. flirtatious,flirtatious
1429. floating,floating
1430. flooded,flooded
1431. floppy 1,floppy
1432. floral,floral
1433. flowering,flowering
1434. flowery 1,flowery
1435. fluent,fluent
1436. fluffy 1,fluffy
1437. flushed,flushed
1438. fluttering,fluttering
1439. flying,flying
1440. foamy 1,foamy
1441. focused,focused
1442. foggy 1,foggy
1443. folded,folded
1444. following,following
1445. fond 1,fond
1446. foolhardy 1,foolhardy
1447. foolish,foolish
1448. forbidding,forbidding
1449. forceful,forceful
1450. foreboding,foreboding
1451. foregoing,foregoing
1452. foreign,foreign
1453. forensic,forensic
1454. foreseeable,foreseeable
1455. forged,forged
1456. forgetful,forgetful
1457. forgettable,forgettable
1458. forgivable,forgivable
1459. forgiving,forgiving
1460. forgotten,forgotten
1461. forked,forked
1462. formal,formal
1463. formative,formative
1464. former,former
1465. formidable,formidable
1466. formless,formless
1467. formulaic,formulaic
1468. forthright,forthright
1469. fortuitous,fortuitous
1470. fortunate,fortunate
1471. forward,forward
1472. foul,foul
1473. foul-smelling,foul-smelling
1474. four 2,four
1475. fourth 2,fourth
1476. foxy,foxy
1477. fractional,fractional
1478. fractious,fractious
1479. fragile,fragile
1480. fragmented,fragmented
1481. fragrant,fragrant
1482. frail 1,frail
1483. frank 1,frank
1484. frantic,frantic
1485. fraternal,fraternal
1486. fraudulent,fraudulent
1487. frayed,frayed
1488. freakish,freakish
1489. freaky 1,freaky
1490. freckled,freckled
1491. free 1,free
1492. freezing,freezing
1493. frequent,frequent
1494. fresh 1,fresh
1495. fretful,fretful
1496. fried,fried
1497. friendly 1,friendly
1498. frightened,frightened
1499. frightening,frightening
1500. frightful,frightful
1501. frigid,frigid
1502. frilly 1,frilly
1503. frisky 1,frisky
1504. frivolous,frivolous
1505. front,front
1506. frosty 1,frosty
1507. frothy 1,frothy
1508. frowning,frowning
1509. frozen,frozen
1510. frugal,frugal
1511. fruitful,fruitful
1512. fruitless,fruitless
1513. fruity 1,fruity
1514. frumpy 1,frumpy
1515. frustrated,frustrated
1516. frustrating,frustrating
1517. fulfilled,fulfilled
1518. fulfilling,fulfilling
1519. full 1,full
1520. fully-grown,fully-grown
1521. fumbling,fumbling
1522. fuming,fuming
1523. fun,fun
1524. functional,functional
1525. fundamental,fundamental
1526. fun-loving,fun-loving
1527. funniest,funniest
1528. funny 1,funny
1529. furious,furious
1530. furry 1,furry
1531. furthest,furthest
1532. furtive,furtive
1533. fussy 1,fussy
1534. futile,futile
1535. future 3,future
1536. futuristic,futuristic
1537. fuzzy 1,fuzzy
1538. gabby 1,gabby
1539. gainful,gainful
1540. gallant,gallant
1541. galling,galling
1542. game,game
1543. gangly,gangly
1544. gaping,gaping
1545. garbled,garbled
1546. gargantuan,gargantuan
1547. garish,garish
1548. garrulous,garrulous
1549. gaseous,gaseous
1550. gasping,gasping
1551. gaudy 1,gaudy
1552. gaunt 1,gaunt
1553. gauzy,gauzy
1554. gawky 1,gawky
1555. general,general
1556. generative,generative
1557. generic,generic
1558. generous,generous
1559. genial,genial
1560. gentle 1,gentle
1561. genuine,genuine
1562. geographic,geographic
1563. geologic,geologic
1564. geometric,geometric
1565. geriatric,geriatric
1566. ghastly 1,ghastly
1567. ghostly,ghostly
1568. ghoulish,ghoulish
1569. giant,giant
1570. giddy 1,giddy
1571. gifted,gifted
1572. gigantic,gigantic
1573. giggling,giggling
1574. gilded,gilded
1575. giving,giving
1576. glad,glad
1577. glamorous,glamorous
1578. glaring,glaring
1579. glass 3,glass
1580. glassy 1,glassy
1581. gleaming,gleaming
1582. glib,glib
1583. glistening,glistening
1584. glittering,glittering
1585. global,global
1586. globular,globular
1587. gloomy 1,gloomy
1588. glorious,glorious
1589. glossy 1,glossy
1590. glowing,glowing
1591. gluey,gluey
1592. glum,glum
1593. gluttonous,gluttonous
1594. gnarly,gnarly
1595. gold,gold
1596. golden,golden
1597. good 1,good
1598. good-looking,good-looking
1599. good-natured,good-natured
1600. gooey,gooey
1601. goofy 1,goofy
1602. gorgeous,gorgeous
1603. graceful,graceful
1604. gracious,gracious
1605. gradual,gradual
1606. grainy 1,grainy
1607. grand 1,grand
1608. grandiose,grandiose
1609. graphic,graphic
1610. grateful,grateful
1611. gratified,gratified
1612. gratifying,gratifying
1613. grating,grating
1614. gratis,gratis
1615. gratuitous,gratuitous
1617. gray,gray
1618. greasy 1,greasy
1619. great 1,great
1620. greatest,greatest
1621. greedy 1,greedy
1622. green 1,green
1623. gregarious,gregarious
1624. grey,grey
1625. grieving,grieving
1626. grim,grim
1627. grimacing,grimacing
1628. grimy 1,grimy
1629. grinding,grinding
1630. grinning,grinning
1631. gripping,gripping
1632. gritty 1,gritty
1633. grizzled,grizzled
1634. groaning,groaning
1635. groggy 1,groggy
1636. groomed,groomed
1637. groovy,groovy
1638. gross 1,gross
1639. grotesque,grotesque
1640. grouchy 1,grouchy
1641. growling,growling
1642. grown-up,grown-up
1643. grubby 1,grubby
1644. grueling,grueling
1645. gruesome,gruesome
1646. gruff 1,gruff
1647. grumbling,grumbling
1648. grumpy 1,grumpy
1649. guaranteed,guaranteed
1650. guarded,guarded
1651. guiltless,guiltless
1652. guilt-ridden,guilt-ridden
1653. guilty 1,guilty
1654. gullible,gullible
1655. gurgling,gurgling
1656. gushing,gushing
1657. gushy,gushy
1658. gusty 1,gusty
1659. gutsy 1,gutsy
1660. habitable,habitable
1661. habitual,habitual
1662. haggard,haggard
1663. hairless,hairless
1664. hairy 1,hairy
1665. half,half
1666. halfhearted,halfhearted
1667. hallowed,hallowed
1668. halting,halting
1669. handsome 1,handsome
1670. handy 1,handy
1671. hanging,hanging
1672. haphazard,haphazard
1673. hapless,hapless
1674. happy 1,happy
1675. hard 1,hard
1676. hard-to-find,hard-to-find
1677. hardworking,hardworking
1678. hardy 1,hardy
1679. harebrained,harebrained
1680. harmful,harmful
1681. harmless,harmless
1682. harmonic,harmonic
1683. harmonious,harmonious
1684. harried,harried
1685. harsh 1,harsh
1686. hasty 1,hasty
1687. hated,hated
1688. hateful,hateful
1689. haughty 1,haughty
1690. haunting,haunting
1691. hawkish,hawkish
1692. hazardous,hazardous
1693. hazy 1,hazy
1694. head,head
1695. heady,heady
1696. healthy 1,healthy
1697. heartbreaking,heartbreaking
1698. heartbroken,heartbroken
1699. heartless,heartless
1700. heartrending,heartrending
1701. hearty 1,hearty
1702. heated,heated
1703. heavenly,heavenly
1704. heavy 1,heavy
1705. hectic,hectic
1706. hefty 1,hefty
1707. heinous,heinous
1708. helpful,helpful
1709. helpless,helpless
1710. her 2,her
1711. heroic,heroic
1712. hesitant,hesitant
1713. hideous,hideous
1714. high 1,high
1715. highest,highest
1716. highfalutin,highfalutin
1717. high-functioning,high-functioning
1718. high-maintenance,high-maintenance
1719. high-pitched,high-pitched
1720. high-risk,high-risk
1721. hilarious,hilarious
1722. his 2,his
1723. hissing,hissing
1724. historical,historical
1725. hoarse 1,hoarse
1726. hoggish,hoggish
1727. holiday 3,holiday
1728. holistic,holistic
1729. hollow,hollow
1730. home 3,home
1731. homeless,homeless
1732. homely 1,homely
1733. homeopathic,homeopathic
1734. homey,homey
1735. homogeneous,homogeneous
1736. honest,honest
1737. honking,honking
1738. honorable,honorable
1739. hopeful,hopeful
1740. hopeless,hopeless
1741. horizontal,horizontal
1742. hormonal,hormonal
1743. horned,horned
1744. horrendous,horrendous
1745. horrible,horrible
1746. horrid,horrid
1747. horrific,horrific
1748. horrified,horrified
1749. horrifying,horrifying
1750. hospitable,hospitable
1751. hostile,hostile
1752. hot,hot
1753. hot pink,hotpink
1754. hot-blooded,hot-blooded
1755. hotheaded,hotheaded
1756. hot-shot,hot-shot
1757. hot-tempered,hot-tempered
1758. hour-long,hour-long
1759. house 3,house
1760. howling,howling
1761. huffy,huffy
1762. huge,huge
1763. huggable,huggable
1764. hulking,hulking
1765. human 3,human
1766. humanitarian,humanitarian
1767. humanlike,humanlike
1768. humble 1,humble
1769. humdrum,humdrum
1770. humid,humid
1771. humiliated,humiliated
1772. humiliating,humiliating
1773. humming,humming
1774. humongous,humongous
1775. humorless,humorless
1776. humorous,humorous
1777. hungry 1,hungry
1778. hurried,hurried
1779. hurt,hurt
1780. hurtful,hurtful
1781. hushed,hushed
1782. husky 1,husky
1783. hydraulic,hydraulic
1784. hydrothermal,hydrothermal
1785. hygienic,hygienic
1786. hyper-active,hyper-active
1787. hyperbolic,hyperbolic
1788. hypercritical,hypercritical
1789. hyperirritable,hyperirritable
1790. hypersensitive,hypersensitive
1791. hypertensive,hypertensive
1792. hypnotic,hypnotic
1793. hypnotizable,hypnotizable
1794. hypothetical,hypothetical
1795. hysterical,hysterical
1796. icky 1,icky
1797. iconoclastic,iconoclastic
1798. icy 1,icy
1799. icy-cold,icy-cold
1800. ideal,ideal
1801. idealistic,idealistic
1802. identical,identical
1803. identifiable,identifiable
1804. idiosyncratic,idiosyncratic
1805. idiotic,idiotic
1806. idyllic,idyllic
1807. ignorable,ignorable
1808. ignorant,ignorant
1809. ill,ill
1810. illegal,illegal
1811. illegible,illegible
1812. illegitimate,illegitimate
1813. ill-equipped,ill-equipped
1814. ill-fated,ill-fated
1815. ill-humored,ill-humored
1816. illicit,illicit
1817. ill-informed,ill-informed
1818. illiterate,illiterate
1819. illogical,illogical
1820. illuminating,illuminating
1821. illusive,illusive
1822. illustrious,illustrious
1823. imaginable,imaginable
1824. imaginary,imaginary
1825. imaginative,imaginative
1826. imitative,imitative
1827. immaculate,immaculate
1828. immanent,immanent
1829. immature,immature
1830. immeasurable,immeasurable
1831. immediate,immediate
1832. immense,immense
1833. immensurable,immensurable
1834. imminent,imminent
1835. immobile,immobile
1836. immodest,immodest
1837. immoral,immoral
1838. immortal,immortal
1839. immovable,immovable
1840. impartial,impartial
1841. impassable,impassable
1842. impassioned,impassioned
1843. impatient,impatient
1844. impeccable,impeccable
1845. impenetrable,impenetrable
1846. imperative,imperative
1847. imperceptible,imperceptible
1848. imperceptive,imperceptive
1849. imperfect,imperfect
1850. imperial,imperial
1851. imperialistic,imperialistic
1852. impermeable,impermeable
1853. impersonal,impersonal
1854. impertinent,impertinent
1855. impervious,impervious
1856. impetuous,impetuous
1857. impish,impish
1858. implausible,implausible
1859. implicit,implicit
1860. implosive,implosive
1861. impolite,impolite
1862. imponderable,imponderable
1863. important,important
1864. imported,imported
1865. imposing,imposing
1866. impossible,impossible
1867. impoverished,impoverished
1868. impractical,impractical
1869. imprecise,imprecise
1870. impressionable,impressionable
1871. impressive,impressive
1872. improbable,improbable
1873. improper,improper
1874. improvable,improvable
1875. improved,improved
1876. improving,improving
1877. imprudent,imprudent
1878. impulsive,impulsive
1879. impure,impure
1880. inaccessible,inaccessible
1881. inaccurate,inaccurate
1882. inactive,inactive
1883. inadequate,inadequate
1884. inadmissible,inadmissible
1885. inadvertent,inadvertent
1886. inadvisable,inadvisable
1887. inalienable,inalienable
1888. inalterable,inalterable
1889. inane,inane
1890. inanimate,inanimate
1891. inapplicable,inapplicable
1892. inappropriate,inappropriate
1893. inapt,inapt
1894. inarguable,inarguable
1895. inarticulate,inarticulate
1896. inartistic,inartistic
1897. inattentive,inattentive
1898. inaudible,inaudible
1899. inauspicious,inauspicious
1900. incalculable,incalculable
1901. incandescent,incandescent
1902. incapable,incapable
1903. incessant,incessant
1904. incidental,incidental
1905. inclusive,inclusive
1906. incoherent,incoherent
1907. incomparable,incomparable
1908. incompatible,incompatible
1909. incompetent,incompetent
1910. incomplete,incomplete
1911. incomprehensible,incomprehensible
1912. inconceivable,inconceivable
1913. inconclusive,inconclusive
1914. incongruent,incongruent
1915. incongruous,incongruous
1916. inconsequential,inconsequential
1917. inconsiderable,inconsiderable
1918. inconsiderate,inconsiderate
1919. inconsistent,inconsistent
1920. inconsolable,inconsolable
1921. inconspicuous,inconspicuous
1922. incontrovertible,incontrovertible
1923. inconvenient,inconvenient
1924. incorrect,incorrect
1925. incorrigible,incorrigible
1926. incorruptible,incorruptible
1927. increasing,increasing
1928. incredible,incredible
1929. incredulous,incredulous
1930. incremental,incremental
1931. incurable,incurable
1932. indecent,indecent
1933. indecipherable,indecipherable
1934. indecisive,indecisive
1935. indefensible,indefensible
1936. indefinable,indefinable
1937. indefinite,indefinite
1938. indelible,indelible
1939. independent,independent
1940. indescribable,indescribable
1941. indestructible,indestructible
1942. indeterminable,indeterminable
1943. indeterminate,indeterminate
1944. indicative,indicative
1945. indifferent,indifferent
1946. indigenous,indigenous
1947. indignant,indignant
1948. indirect,indirect
1949. indiscreet,indiscreet
1950. indiscriminate,indiscriminate
1951. indispensable,indispensable
1952. indisputable,indisputable
1953. indistinct,indistinct
1954. individual,individual
1955. individualistic,individualistic
1956. indivisible,indivisible
1957. indomitable,indomitable
1958. inductive,inductive
1959. indulgent,indulgent
1960. industrial,industrial
1961. industrious,industrious
1962. ineffective,ineffective
1963. ineffectual,ineffectual
1964. inefficient,inefficient
1965. inelegant,inelegant
1966. ineloquent,ineloquent
1967. inequitable,inequitable
1968. inert,inert
1969. inescapable,inescapable
1970. inevitable,inevitable
1971. inexact,inexact
1972. inexcusable,inexcusable
1973. inexhaustible,inexhaustible
1974. inexpedient,inexpedient
1975. inexpensive,inexpensive
1976. inexplicable,inexplicable
1977. inexpressible,inexpressible
1978. inexpressive,inexpressive
1979. inextricable,inextricable
1980. infallible,infallible
1981. infamous,infamous
1982. infantile,infantile
1983. infatuated,infatuated
1984. infected,infected
1985. infectious,infectious
1986. inferable,inferable
1987. inferior,inferior
1988. infernal,infernal
1989. infinite,infinite
1990. infinitesimal,infinitesimal
1991. inflamed,inflamed
1992. inflammable,inflammable
1993. inflammatory,inflammatory
1994. inflatable,inflatable
1995. inflated,inflated
1996. inflexible,inflexible
1997. influential,influential
1998. informal,informal
1999. informative,informative
2000. informed,informed
2001. infrequent,infrequent
2002. infuriated,infuriated
2003. infuriating,infuriating
2004. ingenious,ingenious
2005. ingenuous,ingenuous
2006. inglorious,inglorious
2007. ingratiating,ingratiating
2008. inhabitable,inhabitable
2009. inharmonious,inharmonious
2010. inherent,inherent
2011. inhibited,inhibited
2012. inhospitable,inhospitable
2013. inhuman,inhuman
2014. inhumane,inhumane
2015. initial,initial
2016. injudicious,injudicious
2017. injured,injured
2018. injurious,injurious
2019. innate,innate
2020. inner,inner
2021. innocent,innocent
2022. innocuous,innocuous
2023. innovative,innovative
2024. innumerable,innumerable
2025. inoffensive,inoffensive
2026. inoperable,inoperable
2027. inoperative,inoperative
2028. inopportune,inopportune
2029. inordinate,inordinate
2030. inorganic,inorganic
2031. inquiring,inquiring
2032. inquisitive,inquisitive
2033. insane,insane
2034. insatiable,insatiable
2035. inscrutable,inscrutable
2036. insecure,insecure
2037. insensible,insensible
2038. insensitive,insensitive
2039. inseparable,inseparable
2040. inside,inside
2041. insidious,insidious
2042. insightful,insightful
2043. insignificant,insignificant
2044. insincere,insincere
2045. insipid,insipid
2046. insistent,insistent
2047. insolent,insolent
2048. inspirational,inspirational
2049. inspired,inspired
2050. inspiring,inspiring
2051. instant,instant
2052. instantaneous,instantaneous
2053. instinctive,instinctive
2054. instinctual,instinctual
2055. institutional,institutional
2056. instructive,instructive
2057. instrumental,instrumental
2058. insubordinate,insubordinate
2059. insufferable,insufferable
2060. insufficient,insufficient
2061. insulted,insulted
2062. insulting,insulting
2063. insurable,insurable
2064. insurmountable,insurmountable
2065. intangible,intangible
2066. integral,integral
2067. intellectual,intellectual
2068. intelligent,intelligent
2069. intelligible,intelligible
2070. intended,intended
2071. intense,intense
2072. intensive,intensive
2073. intentional,intentional
2074. interactive,interactive
2075. interchangeable,interchangeable
2076. interdepartmental,interdepartmental
2077. interdependent,interdependent
2078. interested,interested
2079. interesting,interesting
2080. interior,interior
2081. intermediate,intermediate
2082. intermittent,intermittent
2083. internal,internal
2084. international,international
2085. interpersonal,interpersonal
2086. interracial,interracial
2087. intestinal,intestinal
2088. intimate,intimate
2089. intimidating,intimidating
2090. intolerable,intolerable
2091. intolerant,intolerant
2092. intravenous,intravenous
2093. intrepid,intrepid
2094. intricate,intricate
2095. intrigued,intrigued
2096. intriguing,intriguing
2097. intrinsic,intrinsic
2098. introductory,introductory
2099. introspective,introspective
2100. introverted,introverted
2101. intrusive,intrusive
2102. intuitive,intuitive
2103. invalid,invalid
2104. invaluable,invaluable
2105. invasive,invasive
2106. inventive,inventive
2107. invigorating,invigorating
2108. invincible,invincible
2109. invisible,invisible
2110. invited,invited
2111. inviting,inviting
2112. involuntary,involuntary
2113. involved,involved
2114. inward,inward
2115. irascible,irascible
2116. irate,irate
2117. iridescent,iridescent
2118. irksome,irksome
2119. iron 3,iron
2120. iron-fisted,iron-fisted
2121. ironic,ironic
2122. irrational,irrational
2123. irreconcilable,irreconcilable
2124. irrefutable,irrefutable
2125. irregular,irregular
2126. irrelative,irrelative
2127. irrelevant,irrelevant
2128. irremovable,irremovable
2129. irreparable,irreparable
2130. irreplaceable,irreplaceable
2131. irrepressible,irrepressible
2132. irresistible,irresistible
2133. irresponsible,irresponsible
2134. irretrievably,irretrievably
2135. irreverent,irreverent
2136. irreversible,irreversible
2137. irrevocable,irrevocable
2138. irritable,irritable
2139. irritated,irritated
2140. irritating,irritating
2141. isolated,isolated
2142. itchy 1,itchy
2143. its 2,its
2144. itty-bitty 1,itty-bitty 1
2145. jabbering,jabbering
2146. jaded,jaded
2147. jagged,jagged
2148. jarring,jarring
2149. jaundiced,jaundiced
2150. jazzy 1,jazzy
2151. jealous,jealous
2152. jeering,jeering
2153. jerky 1,jerky
2154. jiggling,jiggling
2155. jittery,jittery
2156. jobless,jobless
2157. jocular,jocular
2158. joint,joint
2159. jolly 1,jolly
2160. jovial,jovial
2161. joyful,joyful
2162. joyless,joyless
2163. joyous,joyous
2164. jubilant,jubilant
2165. judgmental,judgmental
2166. judicious,judicious
2167. juicy 1,juicy
2168. jumbled,jumbled
2169. jumpy,jumpy
2170. junior,junior
2171. just,just
2172. justifiable,justifiable
2173. juvenile,juvenile
2174. kaput,kaput
2175. keen,keen
2176. key,key
2177. kind 1,kind
2178. kindhearted,kindhearted
2179. kindly 1,kindly
2180. kinesthetic,kinesthetic
2181. kingly 1,kingly
2182. kitchen 3,kitchen
2183. knavish,knavish
2184. knightly,knightly
2185. knobbed,knobbed
2186. knobby 1,knobby
2187. knotty 1,knotty
2188. knowable,knowable
2189. knowing,knowing
2190. knowledgeable,knowledgeable
2191. known,known
2192. labored,labored
2193. laborious,laborious
2194. lackadaisical,lackadaisical
2195. lacking,lacking
2196. lacy 1,lacy
2197. lame,lame
2198. lamentable,lamentable
2199. languid,languid
2200. languishing,languishing
2201. lanky,lanky
2202. larcenous,larcenous
2203. large 1,large
2204. larger,larger
2205. largest,largest
2206. lascivious,lascivious
2207. last,last
2208. lasting,lasting
2209. late 1,late
2210. latent,latent
2211. later,later
2212. lateral,lateral
2213. latest,latest
2214. latter,latter
2215. laudable,laudable
2216. laughable,laughable
2217. laughing,laughing
2218. lavish,lavish
2219. lawful,lawful
2220. lawless,lawless
2221. lax,lax
2222. lazy 1,lazy
2223. lead 3,lead
2224. leading,leading
2225. lean 1,lean
2226. learnable,learnable
2227. learned,learned
2228. leased,leased
2229. least,least
2230. leather 3,leather
2231. leathery,leathery
2232. lecherous,lecherous
2233. leering,leering
2234. left,left
2235. left-handed,left-handed
2236. legal,legal
2237. legendary,legendary
2238. legible,legible
2239. legislative,legislative
2240. legitimate,legitimate
2241. lengthy 1,lengthy
2242. lenient,lenient
2243. less 2,less
2244. lesser,lesser
2245. lesser-known,lesser-known
2246. less-qualified,less-qualified
2247. lethal,lethal
2248. lethargic,lethargic
2249. level,level
2250. liable,liable
2251. libelous,libelous
2252. liberal,liberal
2253. licensed,licensed
2254. life 3,life
2255. lifeless,lifeless
2256. lifelike,lifelike
2257. lifelong,lifelong
2258. light 1,light
2259. light-blue,light-blue
2260. lighthearted,lighthearted
2261. likable,likable
2262. likeable,likeable
2263. likely 1,likely
2264. like-minded,like-minded
2265. lily-livered,lily-livered
2266. limber,limber
2267. limited,limited
2268. limitless,limitless
2269. limp,limp
2270. limping,limping
2271. linear,linear
2272. lined,lined
2273. lingering,lingering
2274. linguistic,linguistic
2275. liquid 3,liquid
2276. listless,listless
2277. literal,literal
2278. literary,literary
2279. literate,literate
2280. lithe,lithe
2281. lithographic,lithographic
2282. litigious,litigious
2283. little 1,little
2284. livable,livable
2285. live,live
2286. lively 1,lively
2287. livid,livid
2288. living,living
2289. loathsome,loathsome
2290. local,local
2291. locatable,locatable
2292. locked,locked
2293. lofty,lofty
2294. logarithmic,logarithmic
2295. logical,logical
2296. logistic,logistic
2297. lonely 1,lonely
2298. long 1,long
2299. longer,longer
2300. longest,longest
2301. longing,longing
2302. long-term,long-term
2303. long-winded,long-winded
2304. loose 1,loose
2305. lopsided,lopsided
2306. loquacious,loquacious
2307. lordly,lordly
2308. lost,lost
2309. loud 1,loud
2310. lousy 1,lousy
2311. loutish,loutish
2312. lovable,lovable
2313. loveable,loveable
2314. lovely 1,lovely
2315. loving,loving
2316. low 1,low
2317. low-calorie,low-calorie
2318. low-carb,low-carb
2319. lower,lower
2320. low-fat,low-fat
2321. lowly 1,lowly
2322. low-maintenance,low-maintenance
2323. low-ranking,low-ranking
2324. low-risk,low-risk
2325. loyal,loyal
2326. lucent,lucent
2327. lucid,lucid
2328. lucky 1,lucky
2329. lucrative,lucrative
2330. ludicrous,ludicrous
2331. lukewarm,lukewarm
2332. lulling,lulling
2333. luminescent,luminescent
2334. luminous,luminous
2335. lumpy 1,lumpy
2336. lurid,lurid
2337. luscious,luscious
2338. lush,lush
2339. lustrous,lustrous
2340. luxurious,luxurious
2341. lying,lying
2342. lyrical,lyrical
2343. macabre,macabre
2344. Machiavellian,Machiavellian
2345. macho,macho
2346. mad 1,mad
2347. maddening,maddening
2348. magenta,magenta
2349. magic,magic
2350. magical,magical
2351. magnanimous,magnanimous
2352. magnetic,magnetic
2353. magnificent,magnificent
2354. maiden,maiden
2355. main,main
2356. maintainable,maintainable
2357. majestic,majestic
2358. major,major
2359. makeable,makeable
2360. makeshift,makeshift
2361. maladjusted,maladjusted
2362. male,male
2363. malevolent,malevolent
2364. malicious,malicious
2365. malignant,malignant
2366. malleable,malleable
2367. mammoth,mammoth
2368. manageable,manageable
2369. managerial,managerial
2370. mandatory,mandatory
2371. maneuverable,maneuverable
2372. mangy,mangy
2373. maniacal,maniacal
2374. manic,manic
2375. manicured,manicured
2376. manipulative,manipulative
2377. man-made,man-made
2378. manual,manual
"2379. many 1, 2","many, 2"
2380. marbled,marbled
2381. marginal,marginal
2382. marked,marked
2383. marketable,marketable
2384. married,married
2385. marvelous,marvelous
2386. masked,masked
2387. massive,massive
2388. master 3,master
2389. masterful,masterful
2390. matchless,matchless
2391. material,material
2392. materialistic,materialistic
2393. maternal,maternal
2394. mathematical,mathematical
2395. matronly,matronly
2396. matted,matted
2397. mature,mature
2398. maximum,maximum
2399. meager,meager
2400. mean 1,mean
2401. meandering,meandering
2402. meaningful,meaningful
2403. meaningless,meaningless
2404. mean-spirited,mean-spirited
2405. measly,measly
2406. measurable,measurable
2407. meat-eating,meat-eating
2408. meaty,meaty
2409. mechanical,mechanical
2410. medical,medical
2411. medicinal,medicinal
2412. meditative,meditative
2413. medium,medium
2414. medium-rare,medium-rare
2415. meek 1,meek
2416. melancholy,melancholy
2417. mellow 1,mellow
2418. melodic,melodic
2419. melodious,melodious
2420. melodramatic,melodramatic
2421. melted,melted
2422. memorable,memorable
2423. menacing,menacing
2424. menial,menial
2425. mental,mental
2426. merciful,merciful
2427. merciless,merciless
2428. mercurial,mercurial
2429. mere,mere
2430. merry 1,merry
2431. messy 1,messy
2432. metabolic,metabolic
2433. metallic,metallic
2434. metaphoric,metaphoric
2435. meteoric,meteoric
2436. meticulous,meticulous
2437. microscopic,microscopic
2438. microwaveable,microwaveable
2439. middle,middle
2440. middle-class,middle-class
2441. midweek,midweek
2442. mighty 1,mighty
2443. mild 1,mild
2444. militant,militant
2445. militaristic,militaristic
2446. military,military
2447. milky,milky
2448. mincing,mincing
2449. mind-bending,mind-bending
2450. mindful,mindful
2451. mindless,mindless
2452. mini,mini
2453. miniature,miniature
2454. minimal,minimal
2455. minimum,minimum
2456. minor,minor
2457. minute,minute
2458. miraculous,miraculous
2459. mirthful,mirthful
2460. miscellaneous,miscellaneous
2461. mischievous,mischievous
2462. miscreant,miscreant
2463. miserable,miserable
2464. miserly,miserly
2465. misguided,misguided
2466. misleading,misleading
2467. mission 3,mission
2468. mistaken,mistaken
2469. mistrustful,mistrustful
2470. mistrusting,mistrusting
2471. misty 1,misty
2472. mixed,mixed
2473. mnemonic,mnemonic
2474. moaning,moaning
